,dateKind,dateName,isHoliday,locdate,seq,remarks
0,01,1월1일,Y,20210101,1,
1,01,설날,Y,20210211,1,
2,01,설날,Y,20210212,1,
3,01,설날,Y,20210213,1,
4,01,삼일절,Y,20210301,1,
5,01,어린이날,Y,20210505,1,
6,01,부처님오신날,Y,20210519,1,
7,01,현충일,Y,20210606,1,
8,01,제헌절,N,20210717,1,국경일이지만 공휴일 아님
9,01,광복절,Y,20210815,1,
10,01,대체공휴일,Y,20210816,1,
11,01,추석,Y,20210920,1,
12,01,추석,Y,20210921,1,
13,01,추석,Y,20210922,1,
14,01,개천절,Y,20211003,1,
15,01,대체공휴일,Y,20211004,1,
16,01,한글날,Y,20211009,1,
17,01,대체공휴일,Y,20211011,1,
18,01,기독탄신일,Y,20211225,1,
