year,grade,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
2021,good,30.0,9.0,21.496062992125985,26.74403199600051,127,22.0,18.0,26.0,8.0,-0.20908917866288396,-0.867472806894332,21.0
2021,normal,78.0,31.0,48.407407407407405,161.91292356185977,189,46.0,38.0,57.0,19.0,0.5387382380116035,-0.7711028791590366,47.0
2021,bad,146.0,81.0,107.55882352941177,291.0418894830659,34,107.5,96.0,117.75,21.75,0.2989393153017262,-0.5983199918637179,65.0
2021,very_bad,389.0,156.0,262.5,11896.3,6,243.5,166.5,362.5,196.0,0.19399319629367773,-1.7312201717952418,233.0
2022,good,30.0,8.0,22.98148148148148,27.819530710835053,162,24.0,19.25,27.0,7.75,-0.688390881151016,-0.4082439634655848,22.0
2022,normal,79.0,31.0,44.11046511627907,129.8532231742148,172,41.0,34.75,51.0,16.25,0.9082619807353988,-0.04899914563539376,48.0
2022,bad,129.0,88.0,104.33333333333333,205.4666666666667,6,100.5,97.0,109.25,12.25,0.755676236858417,-0.44668231227688926,41.0
2022,very_bad,247.0,169.0,208.0,3042.0,2,208.0,188.5,227.5,39.0,0.0,-2.0,78.0
2023,good,30.0,10.0,21.866197183098592,30.201827989211875,142,22.0,18.25,26.0,7.75,-0.448505117588987,-0.663523021532241,20.0
2023,normal,78.0,31.0,46.27322404371585,176.30955383414383,183,42.0,35.0,55.0,20.0,0.7143524518816156,-0.6811742769920968,47.0
2023,bad,148.0,88.0,106.66666666666667,268.235294117647,18,103.5,93.75,117.0,23.25,0.936065001890133,0.23631809787626912,60.0
2023,very_bad,333.0,161.0,220.25,6588.916666666665,4,193.5,161.0,252.75,91.75,0.7322750892485522,-1.093198848840977,172.0
2024,good,30.0,10.0,21.935897435897434,29.4023159636063,156,23.0,18.0,27.0,9.0,-0.3009665948162751,-1.020874439501247,20.0
2024,normal,77.0,31.0,43.88495575221239,118.88843236409608,113,40.0,35.0,50.0,15.0,1.0819945277586347,0.6526793942697413,46.0
2024,bad,137.0,83.0,106.85714285714286,273.8095238095238,7,104.0,101.5,110.5,9.0,0.5576540928026326,0.009659372400754762,54.0
2024,very_bad,277.0,152.0,214.5,7812.5,2,214.5,183.25,245.75,62.5,0.0,-2.0,125.0
