year,season,Max,Min,Mean,Variance,Count,Median,Q1,Q3,IQR,Skewness,Kurtosis,Range
2021,Spring,389.0,14.0,72.32269433465086,4180.702081176146,88,55.5,39.75,82.0,42.25,3.2069982288655323,12.001098408693558,375.0
2021,Summer,72.0,15.0,33.91304347826087,177.33301481127575,92,31.0,23.0,42.0,19.0,0.7567894162529316,-0.15585769272748573,57.0
2021,Fall,140.0,9.0,31.318181818181817,428.35736677116,88,25.0,17.0,39.25,22.25,2.3581875479193792,8.251775769139067,131.0
2021,Winter,146.0,19.0,55.37078651685393,819.6450459652707,89,49.0,33.0,70.0,37.0,0.9801063301664468,0.33446732675076163,127.0
2022,Spring,169.0,13.0,44.273809523809526,462.4903901319564,84,40.0,31.75,51.25,19.5,2.743184339040153,12.587053188168884,156.0
2022,Summer,47.0,8.0,24.442587209302324,55.52538741877562,86,25.0,19.25,28.0,8.75,0.3392957030688893,0.27741995961070565,39.0
2022,Fall,69.0,10.0,30.51577540106952,151.30632653887994,85,28.0,22.0,36.0,14.0,0.9932047110574396,0.8586928661437732,59.0
2022,Winter,247.0,16.0,44.87640449438202,843.1777323799793,89,36.0,30.0,51.0,21.0,4.32091917434529,25.342652827897123,231.0
2023,Spring,333.0,11.0,63.67107890499195,1938.6388904658932,90,55.0,39.25,67.0,27.75,3.3536583976209244,15.727985111836357,322.0
2023,Summer,65.0,10.0,27.28735632183908,100.8815824645817,87,26.0,21.0,33.0,12.0,0.8992848318351845,1.744222001873447,55.0
2023,Fall,92.0,10.0,27.64367816091954,133.04597701149424,87,27.0,19.0,32.5,13.5,2.084086919254801,9.454516065705068,82.0
2023,Winter,161.0,14.0,46.69047619047619,610.16810097533,84,40.5,30.75,58.5,27.75,1.7990915497055435,4.99035316251596,147.0
2024,Spring,277.0,14.0,48.37671048196832,1269.7306022111363,86,40.0,29.0,51.0,22.0,3.76085215115814,18.977514303281545,263.0
2024,Summer,56.0,10.0,26.25,97.1781609195402,88,25.5,18.0,32.0,14.0,0.6786126248206145,0.0076281674086788875,46.0
2024,Fall,47.0,11.0,23.71681818181818,67.47805721875525,50,22.5,18.0,28.960227272727273,10.960227272727273,0.6627776024801303,-0.01970251110111132,36.0
2024,Winter,83.0,11.0,35.5,287.34545454545463,56,31.5,24.0,43.0,19.0,0.9716676326990752,0.3449433329739571,72.0
